English_title,Year,Dir_or_prod,Studio,Award_mains,Mains_cat,Award_fest,Fest_cat,Production_country
Cold War,2018-01-01,"Łukasz Żal, Paweł Pawlikowski",,1,"Oscar - Best Cinematography, Oscar - Best Director",0,,
Black Panther,2018-01-01,Kevin Feige,,1,Oscar - Best Film,0,,
Barbara,2018-01-01,"Mathieu Amalric, Mathieu Amalric",,1,"César - Best Director, César - Best Film",0,,
Capernaum,2018-01-01,Nadine Labaki,,0,,0,,Lebanon
BPM (Beats per Minute),2018-01-01,"Robin Campillo, Robin Campillo, Robin Campillo",,1,"César - Best Director, César - Best Film",1,Cannes - Grand Prix,France
Raw,2018-01-01,Julia Ducournau,,1,César - Best Director,0,,
Roma,2018-01-01,"Alfonso Cuarón, Alfonso Cuarón, Gabriela Rodríguez and Alfonso Cuarón, Alfonso Cuarón",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",1,Venise - Lion d'Or,Mexico
Redoubtable,2018-01-01,Michel Hazanavicius,,1,César - Best Director,0,,
Never Look Away,2018-01-01,Caleb Deschanel,,1,Oscar - Best Cinematography,0,,
Le Brio,2018-01-01,Yvan Attal,,1,César - Best Film,0,,
Shoplifters,2018-01-01,Hirokazu Kore-eda,,0,,1,Cannes - Palme d'Or,Japan
See You Up There,2018-01-01,"Albert Dupontel, Albert Dupontel",,1,"César - Best Director, César - Best Film",0,,
Patients,2018-01-01,Grand Corps Malade and Mehdi Idir,,1,César - Best Film,0,,
Green Book,2018-01-01,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly, and Nick Vallelonga",,1,Oscar - Best Film,0,,
The Favourite,2018-01-01,"Robbie Ryan, Yorgos Lanthimos, Ceci Dempsey, Ed Guiney, Lee Magiday, and Yorgos Lanthimos, Yorgos Lanthimos",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",1,Venise - Grand Prix du Jury,"Ireland, United Kingdom, United States"
Bohemian Rhapsody,2018-01-01,Graham King,,1,Oscar - Best Film,0,,
Bloody Milk,2018-01-01,"Hubert Charuel, Hubert Charuel",,1,"César - Best Director, César - Best Film",0,,
C'est la vie!,2018-01-01,"Éric Toledano and Olivier Nakache, Éric Toledano and Olivier Nakache",,1,"César - Best Director, César - Best Film",0,,
Custody,2019-01-01,"Xavier Legrand, Xavier Legrand, Xavier Legrand",,1,"César - Best Director, César - Best Film",1,Venise - Lion d'Argent,
Guy,2019-01-01,"Alex Lutz, Alex Lutz",,1,"César - Best Director, César - Best Film",0,,
Once Upon a Time in Hollywood,2019-01-01,"Robert Richardson, Quentin Tarantino, David Heyman, Shannon McIntosh, and Quentin Tarantino",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Bacurau,2019-01-01,Kleber Mendonça Filho & Juliano Dornelles,,0,,0,,"Brazil, France"
The Lighthouse,2019-01-01,Jarin Blaschke,,1,Oscar - Best Cinematography,0,,
Parasite,2019-01-01,"Bong Joon-ho, Kwak Sin-ae and Bong Joon-ho",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Atlantics,2019-01-01,Mati Diop,,0,,1,Cannes - Grand Prix,"France, Senegal, Belgium"
Ford v Ferrari,2019-01-01,"Peter Chernin, Jenno Topping, and James Mangold",,1,Oscar - Best Film,0,,
Memoir of War,2019-01-01,"Emmanuel Finkiel, Emmanuel Finkiel",,1,"César - Best Director, César - Best Film",0,,
The Trouble with You,2019-01-01,"Pierre Salvadori, Pierre Salvadori",,1,"César - Best Director, César - Best Film",0,,
Sink or Swim,2019-01-01,"Gilles Lellouche, Gilles Lellouche",,1,"César - Best Director, César - Best Film",0,,
1917,2019-01-01,"Roger Deakins, Sam Mendes, Sam Mendes, Pippa Harris, Jayne-Ann Tenggren, and Callum McDougall",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Marriage Story,2019-01-01,Noah Baumbach and David Heyman,,1,Oscar - Best Film,0,,
The Irishman,2019-01-01,"Rodrigo Prieto, Martin Scorsese, Martin Scorsese, Robert De Niro, Jane Rosenthal, and Emma Tillinger Koskoff",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Joker,2019-01-01,"Lawrence Sher, Todd Phillips, Todd Phillips, Bradley Cooper, and Emma Tillinger Koskoff, Todd Phillips",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",1,Venise - Lion d'Or,United States
The Sisters Brothers,2019-01-01,"Jacques Audiard, Jacques Audiard, Jacques Audiard",,1,"César - Best Director, César - Best Film",1,Venise - Lion d'Argent,
In Safe Hands,2019-01-01,"Jeanne Herry, Jeanne Herry",,1,"César - Best Director, César - Best Film",0,,
Parasite ,2019-01-01,Bong Joon-ho,,0,,1,Cannes - Palme d'Or,South Korea
About Endlessness,2019-01-01,Roy Andersson,,0,,1,Venise - Lion d'Argent,
Jojo Rabbit,2019-01-01,"Carthew Neal, Taika Waititi, and Chelsea Winstanley",,1,Oscar - Best Film,0,,
Sound of Metal,2020-01-01,Bert Hamelinck and Sacha Ben Harroche,,1,Oscar - Best Film,0,,
Nomadland,2020-01-01,"Joshua James Richards, Chloé Zhao, Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey, and Chloé Zhao, Chloé Zhao",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",1,Venise - Lion d'Or,United States
Wife of a Spy,2020-01-01,Kiyoshi Kurosawa,,0,,1,Venise - Lion d'Argent,
"Festival cancelled due to the COVID-19 pandemic. 56 films were announced as official selections by the festival, but no awards were presented.",2020-01-01,"Festival cancelled due to the COVID-19 pandemic. 56 films were announced as official selections by the festival, but no awards were presented.",,0,,1,Cannes - Palme d'Or,"Festival cancelled due to the COVID-19 pandemic. 56 films were announced as official selections by the festival, but no awards were presented."
Another Round,2020-01-01,Thomas Vinterberg,,1,Oscar - Best Director,0,,
Promising Young Woman,2020-01-01,"Emerald Fennell, Ben Browning, Ashley Fox, Emerald Fennell, and Josey McNamara",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Portrait of a Lady on Fire,2020-01-01,"Céline Sciamma, Céline Sciamma",,1,"César - Best Director, César - Best Film",0,,
The Specials,2020-01-01,"Éric Toledano and Olivier Nakache, Éric Toledano and Olivier Nakache",,1,"César - Best Director, César - Best Film",0,,
An Officer and a Spy,2020-01-01,"Roman Polanski, Roman Polanski, Roman Polanski",,1,"César - Best Director, César - Best Film",1,Venise - Grand Prix du Jury,"France, Italy"
Oh Mercy!,2020-01-01,"Arnaud Desplechin, Arnaud Desplechin",,1,"César - Best Director, César - Best Film",0,,
News of the World,2020-01-01,Dariusz Wolski,,1,Oscar - Best Cinematography,0,,
La Belle Époque,2020-01-01,"Nicolas Bedos, Nicolas Bedos",,1,"César - Best Director, César - Best Film",0,,
Minari,2020-01-01,"Lee Isaac Chung, Christina Oh",,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Trial of the Chicago 7,2020-01-01,"Phedon Papamichael, Marc Platt and Stuart M. Besser",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
New Order,2020-01-01,Michel Franco,,0,,1,Venise - Grand Prix du Jury,"Mexico, France"
By the Grace of God,2020-01-01,"François Ozon, François Ozon",,1,"César - Best Director, César - Best Film",0,,
Mank,2020-01-01,"Erik Messerschmidt, David Fincher, Ceán Chaffin, Eric Roth, and Douglas Urbanski",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Judas and the Black Messiah,2020-01-01,"Sean Bobbitt, Shaka King, Charles D. King, and Ryan Coogler",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
The Father,2020-01-01,"David Parfitt, Jean-Louis Livi, and Philippe Carcassonne",,1,Oscar - Best Film,0,,
Ahed's Knee,2021-01-01,Nadav Lapid,,0,,0,,"France, Germany, Israel"
Summer of 85,2021-01-01,"François Ozon, François Ozon",,1,"César - Best Director, César - Best Film",0,,
The Hand of God,2021-01-01,Paolo Sorrentino,,0,,1,Venise - Grand Prix du Jury,Italy
Love Affair(s),2021-01-01,"Emmanuel Mouret, Emmanuel Mouret",,1,"César - Best Director, César - Best Film",0,,
The Power of the Dog,2021-01-01,"Ari Wegner, Jane Campion, Jane Campion, Tanya Seghatchian, Emile Sherman, Iain Canning, and Roger Frappier, Jane Campion",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",1,Venise - Lion d'Argent,
Adolescents,2021-01-01,"Sébastien Lifshitz, Sébastien Lifshitz",,1,"César - Best Director, César - Best Film",0,,
Belfast,2021-01-01,"Kenneth Branagh, Laura Berwick, Kenneth Branagh, Becca Kovacik, and Tamar Thomas",,1,"Oscar - Best Director, Oscar - Best Film",0,,
A Hero,2021-01-01,Asghar Farhadi,,0,,1,Cannes - Grand Prix,"Iran, France"
Dune,2021-01-01,"Greig Fraser, Mary Parent, Denis Villeneuve, and Cale Boyter",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
CODA,2021-01-01,"Philippe Rousselet, Fabrice Gianfermi, and Patrick Wachsberger",,1,Oscar - Best Film,0,,
Bye Bye Morons,2021-01-01,"Albert Dupontel, Albert Dupontel",,1,"César - Best Director, César - Best Film",0,,
Licorice Pizza,2021-01-01,"Paul Thomas Anderson, Sara Murphy, Adam Somner, and Paul Thomas Anderson",,1,"Oscar - Best Director, Oscar - Best Film",0,,
King Richard,2021-01-01,"Tim White, Trevor White, and Will Smith",,1,Oscar - Best Film,0,,
Don't Look Up,2021-01-01,Adam McKay and Kevin Messick,,1,Oscar - Best Film,0,,
Drive My Car,2021-01-01,"Ryusuke Hamaguchi, Teruhisa Yamamoto",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Nightmare Alley,2021-01-01,"Dan Laustsen, Guillermo del Toro, J. Miles Dale, and Bradley Cooper",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Memoria,2021-01-01,Apichatpong Weerasethakul,,0,,0,,"Colombia, Thailand, United Kingdom, Mexico, France"
DNA,2021-01-01,Maïwenn,,1,César - Best Director,0,,
Happening ,2021-01-01,Audrey Diwan,,0,,1,Venise - Lion d'Or,France
"My Donkey, My Lover & I",2021-01-01,Caroline Vignal,,1,César - Best Film,0,,
Compartment No. 6,2021-01-01,Juho Kuosmanen,,0,,1,Cannes - Grand Prix,"Finland, Germany, Estonia, Russia"
The Tragedy of Macbeth,2021-01-01,Bruno Delbonnel,,1,Oscar - Best Cinematography,0,,
Annette,2022-01-01,"Leos Carax, Leos Carax",,1,"César - Best Director, César - Best Film",0,,
Women Talking,2022-01-01,"Dede Gardner, Jeremy Kleiner, and Frances McDormand",,1,Oscar - Best Film,0,,
Tár,2022-01-01,"Florian Hoffmeister, Todd Field, Todd Field, Alexandra Milchan, and Scott Lambert",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Saint Omer,2022-01-01,Alice Diop,,0,,1,Venise - Grand Prix du Jury,France
The Banshees of Inisherin,2022-01-01,"Martin McDonagh, Graham Broadbent, Pete Czernin, and Martin McDonagh",,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Divide,2022-01-01,Catherine Corsini,,1,César - Best Film,0,,
Stars at Noon,2022-01-01,Claire Denis,,0,,1,Cannes - Grand Prix,France
Avatar: The Way of Water,2022-01-01,James Cameron and Jon Landau,,1,Oscar - Best Film,0,,
Everything Everywhere All at Once,2022-01-01,"Daniel Kwan and Daniel Scheinert, Daniel Kwan, Daniel Scheinert and Jonathan Wang",,1,"Oscar - Best Director, Oscar - Best Film",0,,
EO,2022-01-01,Jerzy Skolimowski,,0,,0,,"Poland, Italy"
Empire of Light,2022-01-01,Roger Deakins,,1,Oscar - Best Cinematography,0,,
Elvis,2022-01-01,"Mandy Walker, Baz Luhrmann, Catherine Martin, Gail Berman, Patrick McCormick and Schuyler Weiss",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Close,2022-01-01,Lukas Dhont,,0,,1,Cannes - Grand Prix,"Belgium, Netherlands, France"
Lost Illusions,2022-01-01,"Xavier Giannoli, Xavier Giannoli",,1,"César - Best Director, César - Best Film",0,,
Bones and All,2022-01-01,Luca Guadagnino,,0,,1,Venise - Lion d'Argent,
"Onoda: 10,000 Nights in the Jungle",2022-01-01,"Arthur Harari, Arthur Harari",,1,"César - Best Director, César - Best Film",0,,
Top Gun: Maverick,2022-01-01,"Tom Cruise, Christopher McQuarrie, David Ellison and Jerry Bruckheimer",,1,Oscar - Best Film,0,,
"Bardo, False Chronicle of a Handful of Truths",2022-01-01,Darius Khondji,,1,Oscar - Best Cinematography,0,,
All the Beauty and the Bloodshed,2022-01-01,Laura Poitras,,0,,1,Venise - Lion d'Or,United States
Aline,2022-01-01,"Valérie Lemercier, Valérie Lemercier",,1,"César - Best Director, César - Best Film",0,,
Happening,2022-01-01,"Audrey Diwan, Audrey Diwan",,1,"César - Best Director, César - Best Film",0,,
The Stronghold,2022-01-01,"Cédric Jimenez, Cédric Jimenez",,1,"César - Best Director, César - Best Film",0,,
The Eight Mountains,2022-01-01,Felix van Groeningen & Charlotte Vandermeersch,,0,,0,,"Italy, Belgium, France"
Triangle of Sadness,2022-01-01,"Ruben Östlund, Erik Hemmendorff and Philippe Bober, Ruben Östlund",,1,"Oscar - Best Director, Oscar - Best Film",1,Cannes - Palme d'Or,Sweden
Titane,2022-01-01,"Julia Ducournau, Julia Ducournau",,1,César - Best Director,1,Cannes - Palme d'Or,"France, Belgium"
The Fabelmans,2022-01-01,"Steven Spielberg, Kristie Macosko Krieger, Steven Spielberg, Tony Kushner",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Pacifiction,2023-01-01,"Albert Serra, Albert Serra",,1,"César - Best Director, César - Best Film",0,,
Rise,2023-01-01,"Cedric Klapisch, Cédric Klapisch",,1,"César - Best Director, César - Best Film",0,,
Evil Does Not Exist,2023-01-01,Ryusuke Hamaguchi,,0,,1,Venise - Grand Prix du Jury,Japan
Io Capitano,2023-01-01,Matteo Garrone,,0,,1,Venise - Lion d'Argent,
The Innocent,2023-01-01,"Louis Garrel, Louis Garrel",,1,"César - Best Director, César - Best Film",0,,
November,2023-01-01,Cédric Jimenez,,1,César - Best Director,0,,
Anatomy of a Fall,2023-01-01,Justine Triet,,0,,1,Cannes - Palme d'Or,France
The Night of the 12th,2023-01-01,"Dominik Moll, Dominik Moll",,1,"César - Best Director, César - Best Film",0,,
Fallen Leaves,2023-01-01,Aki Kaurismäki,,0,,0,,Finland
Poor Things,2023-01-01,Yorgos Lanthimos,,0,,1,Venise - Lion d'Or,"Ireland, United Kingdom, United States"
Forever Young,2023-01-01,Valeria Bruni Tedeschi,,1,César - Best Film,0,,
The Zone of Interest,2023-01-01,Jonathan Glazer,,0,,1,Cannes - Grand Prix,"United Kingdom, Poland"
