Year of Film Release,Film,Film Studio,Film Studio/Producer(s),Producer(s),Production Company,Nominations,Wins
1969 (42nd),Midnight Cowboy,,,Jerome Hellman,,,
1969 (42nd),Anne of the Thousand Days,,,Hal B. Wallis,,,
1969 (42nd),Butch Cassidy and the Sundance Kid,,,John Foreman,,,
1969 (42nd),"Hello, Dolly!",,,Ernest Lehman,,,
1969 (42nd),Z,,,Jacques Perrin and Ahmed Rachedi,,,
1970 (43rd),,,,,,,
1970 (43rd),Patton,,,Frank McCarthy,,,
1970 (43rd),Airport,,,Ross Hunter,,,
1970 (43rd),Five Easy Pieces,,,Bob Rafelson and Richard Wechsler,,,
1970 (43rd),Love Story,,,Howard G. Minsky,,,
1970 (43rd),M*A*S*H,,,Ingo Preminger,,,
1971 (44th),,,,,,,
1971 (44th),The French Connection,,,Philip D'Antoni,,,
1971 (44th),A Clockwork Orange,,,Stanley Kubrick,,,
1971 (44th),Fiddler on the Roof,,,Norman Jewison,,,
1971 (44th),The Last Picture Show,,,Stephen J. Friedman,,,
1971 (44th),Nicholas and Alexandra,,,Sam Spiegel,,,
1972 (45th),,,,,,,
1972 (45th),The Godfather,,,Albert S. Ruddy,,,
1972 (45th),Cabaret,,,Cy Feuer,,,
1972 (45th),Deliverance,,,John Boorman,,,
1972 (45th),The Emigrants,,,Bengt Forslund,,,
1972 (45th),Sounder,,,Robert B. Radnitz,,,
1973 (46th),,,,,,,
1973 (46th),The Sting,,,"Tony Bill, Michael Phillips, and Julia Phillips",,,
1973 (46th),American Graffiti,,,Francis Ford Coppola and Gary Kurtz,,,
1973 (46th),Cries and Whispers,,,Ingmar Bergman,,,
1973 (46th),The Exorcist,,,William Peter Blatty,,,
1973 (46th),A Touch of Class,,,Melvin Frank,,,
1974 (47th),,,,,,,
1974 (47th),The Godfather Part II,,,"Francis Ford Coppola, Gray Frederickson, and Fred Roos",,,
1974 (47th),Chinatown,,,Robert Evans,,,
1974 (47th),The Conversation,,,Francis Ford Coppola,,,
1974 (47th),Lenny,,,Marvin Worth,,,
1974 (47th),The Towering Inferno,,,Irwin Allen,,,
1975 (48th),,,,,,,
1975 (48th),One Flew Over the Cuckoo's Nest,,,Michael Douglas and Saul Zaentz,,,
1975 (48th),Barry Lyndon,,,Stanley Kubrick,,,
1975 (48th),Dog Day Afternoon,,,Martin Bregman and Martin Elfand,,,
1975 (48th),Jaws,,,Richard D. Zanuck and David Brown,,,
1975 (48th),Nashville,,,Robert Altman,,,
1976 (49th),,,,,,,
1976 (49th),Rocky,,,Irwin Winkler and Robert Chartoff,,,
1976 (49th),All the President's Men,,,Walter Coblenz,,,
1976 (49th),Bound for Glory,,,Robert F. Blumofe and Harold Leventhal,,,
1976 (49th),Network,,,Howard Gottfried,,,
1976 (49th),Taxi Driver,,,Michael Phillips and Julia Phillips,,,
1977 (50th),,,,,,,
1977 (50th),Annie Hall,,,Charles H. Joffe,,,
1977 (50th),The Goodbye Girl,,,Ray Stark,,,
1977 (50th),Julia,,,Richard Roth,,,
1977 (50th),Star Wars,,,Gary Kurtz,,,
1977 (50th),The Turning Point,,,Herbert Ross and Arthur Laurents,,,
1978 (51st),,,,,,,
1978 (51st),The Deer Hunter,,,"Barry Spikings, Michael Deeley, Michael Cimino, and John Peverall",,,
1978 (51st),Coming Home,,,Jerome Hellman,,,
