Superlative,Men,Men.1,Women,Women.1,Year,Winner and nominees,English title,Original title,Winners and nominees,Wins,Director,Nominations
,,,,,2008 (33rd),Abdellatif Kechiche,The Secret of the Grain,La Graine et la mulet,,,,
,,,,,2008 (33rd),Olivier Dahan,La Vie en Rose,La môme,,,,
,,,,,2008 (33rd),Claude Miller,A Secret,Un secret,,,,
,,,,,2008 (33rd),Julian Schnabel (nominated for the Academy Award),The Diving Bell and the Butterfly,Le Scaphandre et le papillon,,,,
,,,,,2008 (33rd),André Téchiné,The Witnesses,Les Témoins,,,,
,,,,,2009 (34th),Jean-François Richet,Public Enemy Number One: Part 1 and 2,L'Instinct de mort and L'Ennemi public n°1,,,,
,,,,,2009 (34th),Rémi Bezançon,The First Day of the Rest of Your Life,Le Premier Jour du reste de ta vie,,,,
,,,,,2009 (34th),Laurent Cantet,The Class,Entre les murs,,,,
,,,,,2009 (34th),Arnaud Desplechin,A Christmas Tale,Un conte de Noël,,,,
,,,,,2009 (34th),Martin Provost,Séraphine,Séraphine,,,,
,,,,,2010 (35th),Jacques Audiard,A Prophet,Un prophète,,,,
,,,,,2010 (35th),Lucas Belvaux,Rapt!,Rapt!,,,,
,,,,,2010 (35th),Xavier Giannoli,In the Beginning,À l'origine,,,,
,,,,,2010 (35th),Philippe Lioret,Welcome,Welcome,,,,
,,,,,2010 (35th),Radu Mihaileanu,The Concert,Le Concert,,,,
,,,,,2011 (36th),Roman Polanski,The Ghost Writer,The Ghost Writer,,,,
,,,,,2011 (36th),Mathieu Amalric,On Tour,Tournée,,,,
,,,,,2011 (36th),Olivier Assayas,Carlos,Carlos,,,,
,,,,,2011 (36th),Xavier Beauvois,Of Gods and Men,Des hommes et des dieux,,,,
,,,,,2011 (36th),Bertrand Blier,The Clink of Ice,Le Bruit des glaçons,,,,
,,,,,2012 (37th),Michel Hazanavicius (won the Academy Award),The Artist,The Artist,,,,
,,,,,2012 (37th),Valérie Donzelli,Declaration of War,La Guerre est déclarée,,,,
,,,,,2012 (37th),Aki Kaurismäki,Le Havre,Le Havre,,,,
,,,,,2012 (37th),Maïwenn,Polisse,Polisse,,,,
,,,,,2012 (37th),Pierre Scholler,The Minister,L'Exercice de l'État,,,,
,,,,,2012 (37th),Éric Toledano and Olivier Nakache,The Intouchables,Intouchables,,,,
,,,,,2013 (38th),Michael Haneke (nominated for the Academy Award),Amour,Amour,,,,
,,,,,2013 (38th),Jacques Audiard,Rust and Bone,De rouille et d'os,,,,
,,,,,2013 (38th),Stéphane Brizé,A Few Hours of Spring,Quelques heures de printemps,,,,
,,,,,2013 (38th),Leos Carax,Holy Motors,Holy Motors,,,,
,,,,,2013 (38th),Benoît Jacquot,"Farewell, My Queen",Les Adieux à la reine,,,,
,,,,,2013 (38th),Noémie Lvovsky,Camille Rewinds,Camille redouble,,,,
,,,,,2013 (38th),François Ozon,In the House,Dans la maison,,,,
,,,,,2014 (39th),Roman Polanski,Venus in Fur,La Vénus à la fourrure,,,,
,,,,,2014 (39th),Arnaud Desplechin,Jimmy P.,Jimmy P.,,,,
